Trial,Average Distance (pixels),Width (pixels),Index of Difficulty (bits),Average Time (milliseconds)
1,150,30,2.585,612.22
2,150,45,2.115,589.22
3,150,60,1.807,670.52
4,150,75,1.585,466.12
5,150,90,1.415,551
6,250,30,3.222,583.98
7,250,45,2.713,531.6
8,250,60,2.369,555.62
9,250,75,2.115,698.2
10,250,90,1.918,639.08
11,350,30,3.663,752.34
12,350,45,3.134,675.86
13,350,60,2.773,587.32
14,350,75,2.503,821.2
15,350,90,2.29,558.36
16,450,30,4,809.04
17,450,45,3.459,803.32
18,450,60,3.087,868.84
19,450,75,2.807,685.42
20,450,90,2.585,600.9
21,550,30,4.273,793.82
22,550,45,3.725,909.98
23,550,60,3.346,638.22
24,550,75,3.059,766.56
25,550,90,2.83,747.54
26,650,30,4.503,1243.98
27,650,45,3.949,750.4
